EG	Gene	Syn	Protein	Function	Description	SP	b#	
EG11221	zwf	None	glucose-6-phosphate 1-dehydrogenase	Enzyme; Energy metabolism, carbon: Oxidative branch, pentose pathway	Glucose-6-phosphate 1-dehydrogenase	P0AC53	b1852
EG11222	alkA	aidA	3-methyl-adenine DNA glycosylase II	Enzyme; DNA - replication, repair, restriction/modification	3-methyl-adenine DNA glycosylase II, inducible; repairs by single-and double-strand excision of 3-methyl adenine	P04395	b2068
EG11223	argH	None	argininosuccinate lyase	Enzyme; Amino acid biosynthesis: Arginine	Argininosuccinate lyase	P11447	b3960
EG11224	fliO	flbD	flagellar biosynthesis protein	Putative structure; Surface structures	Flagellin export apparatus, integral membrane protein	P22586	b1947
EG11225	dcuA	genA	C4-dicarboxylate antiporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	C4-dicarboxylate transporter, anaerobic	P0ABN5	b4138
EG11226	leuA	None	2-isopropylmalate synthase	Enzyme; Amino acid biosynthesis: Leucine	Alpha-isopropylmalate synthase	P09151	b0074
EG11227	fdnG	None	formate dehydrogenase-N, alpha subunit, nitrate-inducible	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Formate dehydrogenase-N, selenopeptide, anaerobic; FDH-N; periplasmic	P24183	b1474
EG11228	fdnH	None	formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Formate dehydrogenase-N, Fe-S subunit, anaerobic; FDH-N; periplasmic	P0AAJ3	b1475
EG11229	fdnI	None	formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Formate dehydrogenase-N, cytochrome subunit, anaerobic; FDH-N	P0AEK7	b1476
EG11230	melR	None	melibiose operon transcriptional regulator; autoregulator	Regulator; Degradation of small molecules: Carbon compounds	Transcriptional activator for melAB, AraC family; autoregulatory repressor in absence of co-activator melibiose	P0ACH8	b4118
EG11231	rpmI	None	50S ribosomal subunit protein L35	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein A (L35)	P0A7Q1	b1717
EG11232	rpmJ	secX	50S ribosomal subunit protein L36	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein X (L36)	P0A7Q6	b3299
EG11233	rstB	uspT	sensory histidine kinase of RstAB two-component system	Regulator; Global regulatory functions	Sensory histidine kinase of RstAB two-component system, low Mg-responsive via PhoQP	P18392	b1609
EG11234	ydiB	None	quinate/shikimate 5-dehydrogenase, NAD(P)-binding	Putative enzyme; Not classified	Quinate/shikimate dehydrogenase, NAD(P)-dependent	P0A6D5	b1692
EG11235	rhlE	None	ATP-dependent RNA helicase	Putative enzyme; Not classified	ATP-dependent RNA helicase, in RNA degradasome	P25888	b0797
EG11236	yahA	None	c-di-GMP-specific phosphodiesterase	Null	c-di-GMP-specific phosphodiesterase, PDE-A; reaction product is 5'pGpG; dependent on Mg+2 or Mn+2, Ca+2 inhibitory; optimum pH 9.35; monomeric	P21514	b0315
EG11237	chiA	yheB	periplasmic endochitinase	Putative enzyme; Not classified	Periplasmic endochitinase/lysozyme, Hns-repressible	P13656	b3338
EG11238	ybhB	None	kinase inhibitor homolog, UPF0098 family	Null	Raf kinase inhibitor RKIP homolog, function unknown; UPF0098 family; cytoplasmic protein	P12994	b0773
EG11239	ybhA	modD	pyridoxal phosphate (PLP) phosphatase	Putative enzyme; Not classified	Pyridoxal phosphate (PLP) phosphatase; phosphoramidase; physiological role unknown; HAD14	P21829	b0766
EG11240	hokB	ydcB	toxic polypeptide, small	Null	Small toxic membrane polypeptide; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown	P77494	b4428
EG11241	ycaC	None	putative isochorismatase family hydrolase	Null	Predicted hydrolase, isochorismatase family, function unknown; homologous to pyrazinamidase and carbamoylsarcosine amidohydrolase; homooctamer	P21367	b0897
EG11242	ycaD	None	putative MFS transporter, inner membrane protein	Putative transport; Not classified	Predicted MFS transporter, function unknown; inner membrane protein	P21503	b0898
EG11244	yggE	None	oxidative stress defense protein	Phenotype; Not classified	Oxidative stress defense, DUF541 family, mechanism unknown	P0ADS6	b2922
EG11245	yggF	yggK	fructose 1,6 bisphosphatase isozyme	Null	Fructose 1,6 bisphosphatase activity	P21437	b2930
EG11246	uspE	ydaA	stress-induced protein	Null	Stress-induced protein; UV-resistance; tandem Usp domains	P0AAC0	b1333
EG11247	rlmD	rumA, ygcA	23S rRNA m(5)U1939 methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(5)U1939 methyltransferase, SAM-dependent	P55135	b2785
EG11249	mazF	chpA, chpAK	mRNA interferase toxin, antitoxin is MazE	Putative factor; Not classified	mRNA interferase toxin, antitoxin is MazE; inhibitor of translation by mRNA cleavage	P0AE70	b2782
EG11250	chpS	chpBI, yjfB	antitoxin of the ChpBS toxin-antitoxin system	Phenotype; Not classified	ChpS antitoxin, toxin is ChpB	P08365	b4224
EG11251	ychA	sirB1(S.t.)	transglutaminase-like TPR-repeat protein	Putative enzyme; Not classified	Transglutaminase-like TPR-repeat protein	P0AGM5	b1214
EG11252	mukE	kicA, ycbA	chromosome condensin MukBEF, MukE localization factor	Null	Chromosome condensin MukBEF, MukE localization factor	P22524	b0923
EG11253	ldtD	ycbB	murein L,D-transpeptidase	Enzyme; Murein sacculus, peptidoglycan	Murein L,D-transpeptidase, periplasmic	P22525	b0925
EG11254	rlmH	ybeA	23S rRNA m(3)Psi1915 pseudouridine methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(3)Psi1915 pseudouridine methyltransferase; SAM-dependent	P0A8I8	b0636
EG11255	rsfS	rsfA, slm3, ybeB	ribosomal silencing factor	Factor; Ribosomes - maturation and modification	Ribosomal silencing factor	P0AAT6	b0637
EG11256	iraP	yaiB	anti-RssB factor, RpoS stabilzer during Pi starvation; anti-adapter protein	Null	Anti-RssB factor, RpoS stabilzer during Pi starvation; anti-adapter protein	P0AAN9	b0382
EG11257	yaiC	adrA(S.t.)	diguanylate cyclase, cellulose regualtor	Null	Cellulose, biofilm, motility regulator, diguanylate cyclase; CsgD-regulated; membrane sensor protein	P0AAP1	b0385
EG11258	focA	ycaE	formate channel	Putative transport; Degradation of small molecules: Carbon compounds	Formate channel; mutants are hypophosphite resistance and have elevated intracellular formate and reduced excreted formate	P0AC23	b0904
EG11259	rnr	vacB, yjeC	exoribonuclease R, RNase R	Putative enzyme; Not classified	Exoribonuclease R, RNase R	P21499	b4179
EG11260	yifB	None	magnesium chelatase family protein and putative transcriptional regulator	Putative regulator; Not classified	Competence Mg chelatase ComM homolog, function unknown	P22787	b3765
EG11261	nfsA	mda18, mdaA, snrA(S.t.), ybjB	nitroreductase A, NADPH-dependent, FMN-dependent	Phenotype; Not classified	Nitroreductase A; oxygen-insensitive, NADPH, FMN-dependent, major; reduces a variety of nitroaromatics, e.g. dihydropteridine, nitrofurantoin, nitrofurazone, quinones; SoxS regulon; homodimeric	P17117	b0851
EG11262	tsgA	gutS, yhfC, yhfH	putative transporter	Putative transport; Not classified	Putative transporter, tellurite-inducible, function unknown; also induced by selenite	P60778	b3364
EG11263	gspB	pinO, pioO	part of gsp divergon involved in type II protein secretion	Factor; DNA - replication, repair, restriction/modification	Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon	P03825	b3322
EG11265	cmk	mssA, ycaF, ycaG	cytidylate kinase	Enzyme; Pyrimidine ribonucleotide biosynthesis	Cytidylate kinase; multicopy suppressor of UMP kinase mutations	P0A6I0	b0910
EG11266	waaH	yibD	LPS(HepIII)-glucuronic acid glycosyltransferase	Putative regulator; Not classified	LPS(HepIII)-glucuronic acid glycosyltransferase	P11290	b3615
EG11267	yiaB	None	YiaAB family inner membrane protein	Null	YiaAB family inner membrane protein	P11286	b3563
EG11268	fmt	yhdD	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Methionyl-tRNA formyltransferase	P23882	b3288
EG11269	hisL	None	his operon leader peptide	Leader; Amino acid biosynthesis: Histidine	his operon leader peptide	P60995	b2018
EG11270	ilvL	None	ilvG operon leader peptide	Leader; Amino acid biosynthesis: Isoleucine, Valine	ilvG operon leader peptide	P62522	b3766
EG11271	pheL	pheAE	pheA gene leader peptide	Leader; Amino acid biosynthesis: Phenylalanine	pheA gene regulatory leader peptide	P0AD72	b2598
EG11272	pheM	phtL	phenylalanyl-tRNA synthetase operon leader peptide	Leader; Aminoacyl tRNA synthetases, tRNA modification	pheST operon regulatory leader peptide	P0AD74	b1715
EG11274	trpL	trpEE	trp operon leader peptide	Leader; Amino acid biosynthesis: Tryptophan	Regulatory leader peptide for trp operon	P0AD92	b1265
EG11275	ivbL	None	ilvB operon leader peptide	Leader; Amino acid biosynthesis: Isoleucine, Valine	ilvB operon leader peptide	P03061	b3672
EG11276	tnaC	tnaL	tryptophanase leader peptide	Leader; Degradation of small molecules: Amino acids	Regulatory leader peptide for tna operon	P0AD89	b3707
EG11277	thrL	None	thr operon leader peptide	Leader; Amino acid biosynthesis: Threonine	Regulatory leader peptide for thrABC operon	P0AD86	b0001
EG11279	pyrL	None	pyrBI operon leader peptide	Leader; Pyrimidine ribonucleotide biosynthesis	pyrBI operon regulatory leader peptide	P0AD83	b4246
EG11280	leuL	leuLP	leu operon leader peptide	Leader; Amino acid biosynthesis: Leucine	leu operon leader peptide	P0AD79	b0075
EG11281	mutL	None	methyl-directed mismatch repair protein	Enzyme; DNA - replication, repair, restriction/modification	Methyl-directed mismatch repair; matchmaker protein; weak DNA-stimulated ATPase	P23367	b4170
EG11282	hyfB	yffF	hydrogenase 4, membrane subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Putative hydrogenase 4 component B; membrane protein of Hyf electron transfer complex of FHL system	P23482	b2482
EG11283	phnE'	None	defective phosphonate ABC transporter permease	Transport; Transport of small molecules: Anions	Pseudogene reconstruction, phosphonate ABC transporter permease; phosphonate catabolism	P16683	b4104
EG11284	fabZ	sabA, sefA, sfhC, yaeA	(3R)-hydroxymyristol acyl carrier protein dehydratase	Enzyme; Fatty acid and phosphatidic acid biosynthesis	3R-hydroxymyristoyl acyl carrier protein (ACP) dehydratase	P0A6Q6	b0180
EG11285	glrR	qseF, yfhA	response regulator regulating glmY sRNA in two-component system with sensor protein GlrK	Putative regulator; Not classified	Response regulator regulating glmY sRNA; cognate histidine sensor kinase is GlrK(QseE)	P0AFU4	b2554
EG11286	argE	Arg4, argA	acetylornithine deacetylase	Enzyme; Amino acid biosynthesis: Arginine	Acetylornithine deacetylase	P23908	b3957
EG11287	ygbA	None	uncharacterized protein	Null	Function unknown	P25728	b2732
EG11288	mak	yajF	manno(fructo)kinase	Putative regulator; Not classified	Cryptic manno(fructo)kinase	P23917	b0394
EG11289	preA	yeiA	dihydropyrimidine dehydrogenase, NADH-dependent, subunit C	Enzyme; pyrimidine metabolism	Dihydropyrimidine dehydrogenase, NADH-dependent, subunit C; pyrimidine metabolism; required for swarming phenotype	P25889	b2147
EG11290	yeiB	None	DUF418 family putative inner membrane protein	Null	Predicted inner membrane protein, function unknown	P25747	b2152
EG11291	loiP	yggG	Phe-Phe periplasmic metalloprotease, OM lipoprotein; low salt-inducible; Era-binding heat shock protein	Enzyme; Degradation of proteins, peptides, glycopeptides	Phe-Phe periplasmic metalloprotease, OM lipoprotein; low salt-inducible; heat shock protein that binds Era	P25894	b2936
EG11292	yghA	None	putative oxidoreductase	Putative enzyme; Not classified	Predicted oxidoreductase, COG1028 family; function unknown	P0AG84	b3003
EG11293	lolB	hemM, ychC	lipoprotein localization factor	Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin	OM lipoprotein required for localization of lipoproteins	P61320	b1209
EG11294	ispE	ipk, ychB	4-diphosphocytidyl-2-C-methylerythritol kinase	Null	4-diphosphocytidyl-2-C-methylerythritol kinase; isopentenyl phosphate kinase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; essential gene	P62615	b1208
EG11295	wzzE	metNSt, wzz, yifC	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein	Putative transport; Not classified	Enterobacterial common antigen ECA chain length determination; also involved in cyclic enterobacterial common antigen ECA(CYC) synthesis	P0AG00	b3785
EG11296	radA	sms	DNA repair protein	Putative enzyme; Degradation of proteins, peptides, glycopeptides	Sensitivity to gamma and UV radiation	P24554	b4389
EG11297	dsbA	dsf, iarA, ppfA	periplasmic protein disulfide isomerase I	Enzyme; Proteins - translation and modification	Thiol:disulfide interchange protein, periplasmic; alkali-inducible	P0AEG4	b3860
EG11298	yhdE	maf(B.s.)	dTTP/UTP pyrophosphatase; m(5)UTP/m(5)CTP/pseudo-UTP pyrophosphatase	Null	dTTP/UTP pyrophosphatase; m(5)UTP/m(5)CTP/pseudo-UTP pyrophosphatase; Maf-like protein	P25536	b3248
EG11299	rng	adhR, cafA, yhdF	ribonuclease G	Structural component; Cell division	Endoribonuclease G involved in 16S rRNA processing; division and growth, overexpression forms minicells and chains with long axial structures	P0A9J0	b3247
EG11300	ydfA	None	Qin prophage; DUF1391 family protein	Phage or Prophage Related	DUF1391 family protein, Qin prophage	P0ACW8	b1571
EG11301	ydfB	None	Qin prophage; uncharacterized protein	Phage or Prophage Related	Expressed protein, function unknown, Qin prophage	P29009	b1572
EG11302	ydfC	None	Qin prophage; uncharacterized protein	Phage or Prophage Related	Uncharacterized protein, Qin prophage	P21418	b1573
EG11303	ydfD	None	Qin prophage; DUF1482 family protein	Phage or Prophage Related	DUF1482 family protein, Qin prophage	P29010	b1576
EG11304	ydfE'	None	Qin prophage; pseudogene	Phage or Prophage Related	Pseudogene, N-terminal fragment, Qin prophage	Q47138	b1577
EG11305	tatE	ybeC	TatABCE protein translocation system subunit	Null	Protein translocase, Sec-independent; mediates export of folded and ligand-bound proteins	P0A843	b0627
EG11306	lipA	lip	lipoate synthase	Putative enzyme; Biosynthesis of cofactors, carriers: Lipoate	Lipoyl synthase, iron-sulfur protein; SAM-dependent chemistry	P60716	b0628
EG11307	ydbA'	None	pseudogene, autotransporter homolog	Null	Pseudogene reconstruction, autotransporter homolog; interrupted by IS2D and IS30C; reported to be required for swarming phenotype	P33666	b4492
EG11309	ydbC	None	putative NAD(P)-binding oxidoreductase	Putative enzyme; Not classified	Predicted oxidoreductase, NAD(P)-binding, function unknown	P25906	b1406
EG11310	ydbD	None	DUF2773 family methylglyoxal resistance protein	Null	DUF2773 family methylglyoxal resistance protein	P25907	b1407
EG11311	dusB	yhdG	tRNA-dihydrouridine synthase B	Enzyme; tRNA modification	tRNA-dihydrouridine synthase B	P0ABT5	b3260
EG11312	yicR	radC	UPF0758 family protein	Phenotype; Not classified	UPF0758 family protein, function unknown	P25531	b3638
EG11313	rhaT	None	L-rhamnose:proton symporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Rhamnose permease; L-rhamnose-H+ symporter, membrane protein	P27125	b3907
EG11314	purB	ade(h)	adenylosuccinate lyase	Enzyme; Purine ribonucleotide biosynthesis	Adenylosuccinate lyase, purine synthesis	P0AB89	b1131
EG11315	acuI	yhdH	putative acryloyl-CoA reductase	Putative enzyme; Not classified	Putative acryloyl-CoA reductase	P26646	b3253
EG11316	malS	None	alpha-amylase	Enzyme; Degradation of polysaccharides	Alpha-amylase, periplasmic	P25718	b3571
EG11317	fabD	tfpA	malonyl-CoA-[acyl-carrier-protein] transacylase	Enzyme; Fatty acid and phosphatidic acid biosynthesis	Malonyl-CoA-acyl carrier protein transacylase	P0AAI9	b1092
EG11318	fabG	None	3-oxoacyl-[acyl-carrier-protein] reductase	Enzyme; Fatty acid and phosphatidic acid biosynthesis	Beta-ketoacyl-ACP reductase	P0AEK2	b1093
EG11319	galU	verA, ychD	glucose-1-phosphate uridylyltransferase	Enzyme; Degradation of small molecules: Carbon compounds	Glucose-1-P uridylyltransferase; also called UDP-glucose pyrophosphorylase	P0AEP3	b1236
EG11320	nrdR	ribX, ybaD	Nrd regulon repressor	Null	Nrd regulon repressor	P0A8D0	b0413
EG11321	ribD	ribG, ybaE	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase	Enzyme; Biosynthesis of cofactors, carriers: Riboflavin	Bifunctional enzyme for second and third steps in riboflavin biosynthesis; 2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate deaminase; ribosyl reductase	P25539	b0414
EG11322	ribE	ribH, ybaF	riboflavin synthase beta chain	Enzyme; Biosynthesis of cofactors, carriers: Riboflavin	Lumazine (6,7-dimethyl-8-ribityllumazine) synthase; 60-mer capsid; penultimate step in the biosynthesis of riboflavin; binds RibC homotrimer	P61714	b0415
EG11323	ygfB	None	UPF0149 family protein	Null	UPF0149 family protein, function unknown	P0A8C4	b2909
EG11324	ubiH	acd, visB	2-octaprenyl-6-methoxyphenol hydroxylase, FAD/NAD(P)-binding	Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone	2-octaprenyl-6-methoxyphenol hydroxylase; produces 2-octaprenyl-6-methoxy-1,4-benzoquinone	P25534	b2907
EG11325	acnA	acn	aconitate hydratase 1; aconitase A	Enzyme; Energy metabolism, carbon: TCA cycle	Aconitate hydratase 1; aconitase A, stationary phase induced; iron-sulfur cluster	P25516	b1276
EG11326	codA	None	cytosine/isoguanine deaminase	Enzyme; Salvage of nucleosides and nucleotides	Cytosine/isoguanine deaminase	P25524	b0337
EG11327	codB	None	cytosine transporter	Transport; Transport of small molecules: Nucleosides, purines, pyrimidines	Cytosine transport	P0AA82	b0336
EG11328	fdx	None	[2Fe-2S] ferredoxin	Carrier; Energy metabolism, carbon: Electron transport	Ferredoxin, an iron-sulfur protein; involved in assembly of other Fe-S clusters	P0A9R4	b2525
EG11329	gabD	None	succinate-semialdehyde dehydrogenase I, NADP-dependent	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Succinate semialdehyde dehydrogenase, NADP-dependent; SSADH; SSDH	P25526	b2661
EG11330	gabP	None	gamma-aminobutyrate transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	GABA permease, membrane protein	P25527	b2663
EG11331	ribA	None	GTP cyclohydrolase II	Enzyme; Biosynthesis of cofactors, carriers: Riboflavin	GTP cyclohydrolase II, riboflavin biosynthesis	P0A7I7	b1277
EG11332	upp	uraP	uracil phosphoribosyltransferase	Enzyme; Salvage of nucleosides and nucleotides	Uracil phosphoribosyltransferase	P0A8F0	b2498
EG11333	ubiI	visC	2-octaprenylphenol hydroxylase, FAD-dependent	Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone	2-octaprenylphenol hydroxylase, ubiquinone biosynthesis; FAD-dependent monooxygenase	P25535	b2906
EG11334	ligB	yicF	DNA ligase, NAD(+)-dependent	Putative enzyme; Not classified	DNA ligase B, NAD(+)-dependent	P25772	b3647
EG11335	nadR	nadI, pnuA(S.t.)	trifunctional protein: nicotinamide mononucleotide adenylyltransferase, ribosylnicotinamide kinase, transcriptional repressor	Regulator; Biosynthesis of cofactors, carriers: Pyridine nucleotide	NMN adenylyltransferase/ribosylnicotinamide kinase/repressor; nicotinamide mononucleotide adenyltransferase; involved in transport of nicotinamide riboside (NR) by PnuC	P27278	b4390
EG11336	endA	None	DNA-specific endonuclease I	Enzyme; Degradation of DNA	DNA-specific endonuclease I, periplasmic; inhibited by RNA; extensive DNA breakdown	P25736	b2945
EG11337	lysP	cadR	lysine transporter	Transport; Transport of small molecules: Amino acids, amines	Lysine permease; lysine repressed	P25737	b2156
EG11338	msyB	None	multicopy suppressor of secY and secA	Phenotype; Protein, peptide secretion	In multicopy restores growth and protein export functions of secY and secA mutants	P25738	b1051
EG11339	waaG	rfaG	UDP-glucose:(heptosyl)lipopolysaccharide alpha-1,3-glucosyltransferase; lipopolysaccharide core biosynthesis protein; lipopolysaccharide glucosyltransferase I	Enzyme; Macromolecule metabolism: Lipopolysaccharide	UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase; LPS core biosynthesis protein; glucosyltransferase I	P25740	b3631
EG11340	waaP	rfaP	kinase that phosphorylates core heptose of lipopolysaccharide	Enzyme; Macromolecule metabolism: Lipopolysaccharide	Lipopolysaccharide kinase; LPS core biosynthesis; phosphorylation of core	P25741	b3630
EG11341	waaQ	rfaQ	lipopolysaccharide core biosynthesis protein	Enzyme; Macromolecule metabolism: Lipopolysaccharide	Glycosyltransferase needed for heptose region of LPS core	P25742	b3632
EG11342	ychE	None	UPF0056 family inner membrane protein	Putative transport; Not classified	UPF0056 family inner membrane protein	P25743	b1242
EG11343	mdtG	yceE	putative drug efflux system protein	Putative transport; Not classified	Multidrug resistance efflux transporter; overexpression resistance to fosfomycin and deoxycholate	P25744	b1053
EG11344	mnmA	asuE, trmU, ycfB	tRNA(Gln,Lys,Glu) U34 2-thiouridylase	Enzyme; tRNA modification	tRNA(Gln,Lys,Glu) U34 2-thiouridylase; first step in mnm(5)-s(2)U34-tRNA synthesis; TusE binding partner; antisuppressor	P25745	b1133
EG11345	hflD	hslZ, ycfC	putative lysogenization regulator	Null	Downregulates lambda lysogenization; interacts with cII protein; first gene in purB operon; peripheral membrane protein	P25746	b1132
EG11346	fliE	flaAI, flaN	flagellar basal-body component	Structural component; Surface structures	Flagellar synthesis; basal body component	P0A8T5	b1937
EG11347	fliF	flaAII.1, flaBI	flagellar basal-body MS-ring and collar protein	Structural component; Surface structures	Flagellar basal body M-ring protein	P25798	b1938
EG11348	yidD	None	membrane protein insertion efficiency factor, UPF0161 family inner membrane protein	Membrane; Inner membrane	Membrane protein insertion efficiency factor, inner membrane protein	P0A8C8	b4557
EG11350	waaS	rfaS	lipopolysaccharide rhamnose:KdoIII transferase; lipopolysaccharide core biosynthesis protein	Enzyme; Macromolecule metabolism: Lipopolysaccharide	Lipopolysaccharide rhamnose:KdoIII transferase; required for the addition of rhamnose to KdoIII in LPS to complete Kdo(3)Rha; LPS core biosynthesis	P27126	b3629
EG11351	waaB	lps, phx*, rfaB, syn*	lipopolysaccharide 1,6-galactosyltransferase; UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase	Enzyme; Surface polysaccharides & antigens	Lipopolysaccharide 1,6-galactosyltransferase; UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase	P27127	b3628
EG11352	waaO	rfaI(S.t.), rfaM, waaI(S.t.)	UDP-D-galactose:(glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase	Enzyme; Surface polysaccharides & antigens	Lipopolysaccharide 1,3-glucosyltransferase; UDP-D-galactose:(glucosyl)LPS-1,3-D-galactosyltransferase; glucosyltransferase II	P27128	b3627
EG11353	waaR	rfaJ(S.t.), rfaN, waaJ(S.t.)	lipopolysaccharide 1,2-glucosyltransferase; UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase	Enzyme; Surface polysaccharides & antigens	Lipopolysaccharide 1,2-glucosyltransferase; UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase; glucosyltransferase III	P27129	b3626
EG11354	emrA	None	multidrug efflux system	Transport; Drug/analog sensitivity	EmrAB-TolC multidrug resistance pump; periplasmic membrane fusion component, signal anchor; energy-dependent efflux of octane, thiolactomycin and the uncouplers DNP, CCCP, and FCCP	P27303	b2685
EG11355	fliA	flaD, rpoF	RNA polymerase, sigma 28 (sigma F) factor	Factor; Surface structures	Transcription factor sigma 28 for class III flagellar operons	P0AEM6	b1922
EG11356	fliZ	yedH	RpoS antagonist; putative regulator of FliA activity	Structural component; Unknown	DNA-binding RpoS antagonist; transiently inhibits RpoS in post-exponential phase; timing factor allowing motility to continue for a while during starvation; not required for normal motility	P52627	b1921
EG11357	dinG	rarB	ATP-dependent DNA helicase	Putative enzyme; DNA - replication, repair, restriction/modification	ATP-dependent DNA helicase; putative repair and recombination enzyme, monomeric	P27296	b0799
EG11358	murA	mrbA, murZ	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	Enzyme; Murein sacculus, peptidoglycan	UDP-N-acetylglucosamine enoylpyruvyl transferase; fosfomycin resistance	P0A749	b3189
EG11359	gspO	hofD, hopD, hopO, yheC	bifunctional prepilin leader peptidase/ methylase	Enzyme; Degradation of proteins, peptides, glyco	Prepilin peptidase in H-NS-silenced gsp divergon; type II protein secretion; cloned gsp divergon secretes ChiA	P25960	b3335
EG11360	bax	None	putative glucosaminidase	Putative enzyme; Not classified	Predicted glucosaminidase, function unknown	P27297	b3570
EG11361	asmA	yegA	suppressor of OmpF assembly mutants; putative outer membrane protein assembly factor; inner membrane-anchored periplasmic protein	Phenotype; Outer membrane constituents	Suppressor of OmpF assembly mutants; inner membrane-anchored periplasmic protein; putative outer membrane protein assembly factor; required for swarming phenotype	P28249	b2064
EG11362	gluQ	yadB	glutamyl-Q tRNA(Asp) synthetase	Putative enzyme; Aminoacyl tRNA synthetases, tRNA modification	Glutamyl-queuosine tRNA(Asp) synthase	P27305	b0144
EG11363	amiB	yjeD	N-acetylmuramoyl-l-alanine amidase II	Enzyme; Murein sacculus, peptidoglycan	N-acetylmuramyl-L-alanine amidase, periplasmic; role in septal cleavage during cell division; overexpression causes lysis, osmotic hypersensitivity; activated by EnvC	P26365	b4169
EG11364	bglH	yieC	carbohydrate-specific outer membrane porin, cryptic	Putative membrane; Not classified	Outer membrane beta-glucoside porin, cryptic; lamB paralog	P26218	b3720
EG11366	rob	cbpB, robA	right oriC-binding transcriptional activator, AraC family	Factor; DNA - replication, repair, restriction/modification	Right oriC-binding transcriptional activator, AraC family	P0ACI0	b4396
EG11367	barA	airS(S.t.), gacC	hybrid sensory histidine kinase, in two-component regulatory system with UvrY	Enzyme; Global regulatory functions	Sensor histidine protein kinase, pleiotropic; controls the expresion of csrB/C sRNAs; works in concert with UvrY response regulator	P0AEC5	b2786
EG11368	menB	None	dihydroxynaphthoic acid synthetase	Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone	1,4-Dihydroxy-2-naphthoyl-CoA (DHNA-CoA) synthase; menaquinone biosynthesis	P0ABU0	b2262
EG11369	ubiC	sdgG?	chorismate--pyruvate lyase	Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone	Chorismate--pyruvate lyase	P26602	b4039
EG11370	ubiA	cyr, sdgG?	p-hydroxybenzoate octaprenyltransferase	Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone	4-Hydroxybenzoate polyprenyltransferase	P0AGK1	b4040
EG11371	pgpC	yfhB	phosphatidylglycerophosphatase C, membrane bound	Enzyme; Macromolecule synthesis, modification: Phospholipids	Phosphatidylglycerophosphatase C, membrane bound	P0AD42	b2560
EG11372	tadA	yfhC	tRNA-specific adenosine deaminase	Enzyme; tRNA modification	A34-tRNA adenosine deaminase; point mutation confers resistance to HokC(Gef)-mediated cell killing; essential gene; homodimeric	P68398	b2559
EG11373	mltF	yfhD	membrane-bound lytic transglycosylase F, murein hydrolase	Enzyme; Transporter; Not classified	Membrane-bound lytic transglycosylase F, murein hydrolase	P0AGC5	b2558
EG11374	folK	None	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	Enzyme; Biosynthesis of cofactors, carriers: Folic acid	6-Hydroxymethyl-7,8-dihydropterin pyrophosphokinase; monomeric	P26281	b0142
EG11375	folE	None	GTP cyclohydrolase I	Enzyme; Biosynthesis of cofactors, carriers: Folic acid	GTP cyclohydrolase I	P0A6T5	b2153
